Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.drill.exec.store.parquet.ParquetFormatPlugin.getRecordWriter,15,34,10,24,5,22,0,16,1,18,5,13,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,4,5,0,5,0.14705882352941177,0.0,0,1.25,3,not bug-prone
org.apache.drill.exec.store.parquet.ParquetFormatPlugin.getGroupScan,5,13,0,11,4,8,2,11,2,6,3,3,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,12,0,1,1,0,0,2.0,0.0,0.3333333333333333,0.0,3,7,0,7,2.3333333333333335,0.0,0,2.3333333333333335,2,bug-prone
org.apache.drill.exec.store.parquet.ParquetGroupScan.getSpecificScan,6,3,0,3,1,1,0,4,1,2,1,1,1,0,1,15.0,23.0,3.9375,89.85848369899593,1358.4375,0.040885739119170185,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.3333333333333333,0.0,0,1.0,1,bug-prone
org.apache.drill.exec.store.parquet.ParquetGroupScan.getNewWithChildren,1,4,0,4,1,2,0,4,1,3,1,2,1,0,1,11.0,15.0,5.333333333333333,51.89147427955947,880.0,0.030610272328874057,2,0,1,0,0,0,0.6666666666666666,0.0,0.25,0.0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.drill.exec.store.parquet.ParquetGroupScan.toString,6,28,4,22,5,18,2,13,4,17,4,13,4,1,0,40.0,132.0,14.782608695652174,702.4945085251319,78052.17391304349,0.6087917348079065,2,0,0,0,0,0,0.11764705882352941,0.0,0.0,0,2,2,0,2,0.07142857142857142,0.0,0,1.0,2,bug-prone
org.apache.drill.exec.store.parquet.ParquetGroupScan.removeUnneededRowGroups,3,12,1,11,3,7,0,8,3,9,4,5,3,2,1,26.0,49.0,27.3,230.32154618891354,34780.200000000004,0.3551676992596117,3,2,0,1,1,0,0.3333333333333333,0.16666666666666666,0.0,1.0,1,2,1,3,0.16666666666666666,0.08333333333333333,2.0,3.0,1,not bug-prone
org.apache.drill.exec.store.parquet.ParquetPushDownFilter.getFilterOnProject,2,24,3,21,5,16,0,3,1,12,7,5,1,0,1,45.0,107.0,26.352941176470587,587.6282813072752,126889.41176470587,0.8417097050042668,1,0,0,1,1,1,0.08333333333333333,0.0,0.0,1.0,1,1,0,1,0.041666666666666664,0.0,0,1.0,1,not bug-prone
org.apache.drill.exec.store.parquet.ParquetPushDownFilter.getFilterOnScan,2,22,2,20,4,15,0,3,1,11,6,5,1,0,1,42.0,93.0,24.3,501.48552031842473,94915.8,0.6935925510448683,1,0,0,0,1,1,0.09090909090909091,0.0,0.0,1.0,1,1,0,1,0.045454545454545456,0.0,0,1.0,1,not bug-prone
org.apache.drill.exec.store.parquet.ParquetPushDownFilter.doOnMatch,11,114,17,82,19,64,15,39,171,50,16,34,18,3,4,105.0,489.0,136.08333333333334,3283.266058138734,6987198.75,12.182810152012179,22,3,3,0,0,0,0.44,0.02631578947368421,0.02631578947368421,0.0,2,20,2,22,0.17543859649122806,0.017543859649122806,10.0,11.0,1,bug-prone
org.apache.drill.exec.store.parquet.ParquetReaderUtility.checkDecimalTypeEnabled,7,7,0,7,1,4,0,4,2,3,1,2,2,1,1,18.0,23.0,7.8,95.90827503317318,3229.2000000000003,0.07282414165321771,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,1,0,1,0.14285714285714285,0.0,0,1.0,1,not bug-prone
org.apache.drill.exec.store.parquet.ParquetRecordWriter.newSchema,17,39,1,28,9,24,10,28,3,17,8,9,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,1.0588235294117647,0.0,0.0,0,5,4,10,14,0.10256410256410256,0.2564102564102564,0.4,2.8,3,bug-prone
org.apache.drill.exec.store.parquet.ParquetRecordWriter.getPrimitiveType,6,23,2,21,8,16,0,14,5,17,8,9,5,3,1,49.0,137.0,51.0,769.2152486437835,342363.0,1.631310484667987,1,0,0,0,0,0,0.058823529411764705,0.0,0.0,0.0,1,1,0,1,0.043478260869565216,0.0,0,1.0,1,bug-prone
org.apache.drill.exec.store.parquet.ParquetRecordWriter.flush,10,23,2,20,1,16,1,12,2,16,1,15,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0.4375,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.drill.exec.store.parquet.ParquetRecordWriter.checkBlockSizeReached,8,17,0,17,3,13,3,7,3,10,3,7,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.2,0.0,0.0,0,2,2,0,2,0.11764705882352941,0.0,0,1.0,2,bug-prone
org.apache.drill.exec.store.parquet.ParquetRecordWriter.cleanup,1,5,1,4,1,2,0,2,1,3,1,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,1,0,0,0,7.333333333333333,0.2,0.2,0,5,13,0,13,2.6,0.0,0,2.6,3,bug-prone
org.apache.drill.exec.store.parquet.ParquetRowGroupScan.getNewWithChildren,7,4,0,4,1,2,0,5,1,3,1,2,1,0,1,18.0,28.0,5.0,116.75790004038474,2520.0,0.06172755936317168,12,0,2,0,0,0,4.0,0.0,0.5,0.0,6,9,0,9,2.25,0.0,0,1.5,4,bug-prone
org.apache.drill.exec.store.parquet.ParquetRowGroupScan.copy,6,3,0,3,1,1,0,3,1,2,1,1,1,0,1,14.0,21.0,4.0,79.95445336320968,1176.0,0.037137867273699644,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.3333333333333333,0.0,0,1.0,1,not bug-prone
org.apache.drill.exec.store.parquet.ParquetWriter.getNewWithChild,4,5,0,5,2,3,0,4,1,4,2,2,1,0,1,15.0,25.0,6.75,97.67226489021297,2531.25,0.06191113591677423,5,0,0,0,0,0,1.25,0.0,0.0,0.0,2,4,1,5,0.8,0.2,4.0,2.5,2,not bug-prone
org.apache.drill.exec.store.parquet.RowGroupReadEntry.getRowGroupReadEntry,2,4,0,4,1,2,0,5,1,2,1,1,1,0,0,12.0,22.0,27.5,78.86917501586544,7260.0,0.12497884086297387,1,0,0,0,0,0,0.5,0.0,0.0,0,1,1,0,1,0.25,0.0,0,1.0,1,bug-prone
org.apache.drill.exec.store.parquet2.DrillParquetGroupConverter.getConverterForType,37,163,3,157,30,120,3,44,47,67,24,43,57,3,2,124.0,1038.0,236.54347826086956,7218.4557701815775,3.0445984173913043E7,32.50115215222261,59,8,2,0,1,0,0.8805970149253731,0.049079754601226995,0.012269938650306749,0.5,9,68,2,70,0.4171779141104294,0.012269938650306749,34.0,7.777777777777778,6,bug-prone
org.apache.drill.exec.store.parquet2.DrillParquetReader.getProjection,4,70,6,56,20,43,8,21,126,46,23,23,12,3,3,76.0,295.0,69.0,1843.138616465858,1546980.0,4.4586345591409176,103,14,19,0,2,0,2.239130434782609,0.2,0.2714285714285714,0.6666666666666666,4,79,29,108,1.1285714285714286,0.4142857142857143,2.7241379310344827,27.0,2,bug-prone
org.apache.drill.exec.store.parquet2.DrillParquetReader.setup,19,71,11,58,11,44,2,50,133,40,13,27,12,4,2,0.0,0.0,0.0,0.0,0.0,0.0,27,1,1,0,1,0,0.675,0.014084507042253521,0.014084507042253521,0.5,3,4,0,4,0.056338028169014086,0.0,0,1.3333333333333333,3,bug-prone
org.apache.drill.exec.store.parquet2.DrillParquetReader.handleAndRaise,4,6,0,6,3,4,0,2,1,4,2,2,1,0,2,17.0,27.0,7.142857142857143,110.36149671375918,3278.5714285714284,0.07356453799884903,1,0,0,0,0,0,0.25,0.0,0.0,0.0,1,1,0,1,0.16666666666666666,0.0,0,1.0,1,bug-prone
org.apache.drill.exec.store.parquet2.DrillParquetReader.getType,5,9,0,9,2,6,0,7,2,6,2,4,2,1,3,33.0,69.0,30.666666666666664,348.0631942357333,69828.0,0.5652386026797186,2,0,2,0,2,0,0.3333333333333333,0.0,0.2222222222222222,0.6666666666666666,1,1,0,1,0.1111111111111111,0.0,0,1.0,1,bug-prone
org.apache.drill.exec.store.parquet2.DrillParquetReader.next,11,33,2,28,3,20,3,13,9,23,5,18,7,2,0,47.0,131.0,35.294117647058826,727.6511395697705,217305.8823529412,1.204831740874532,26,2,2,0,0,0,1.1304347826086956,0.06060606060606061,0.06060606060606061,0,4,26,5,31,0.7878787878787878,0.15151515151515152,5.2,7.75,4,bug-prone
org.apache.drill.exec.store.parquet2.DrillParquetRecordMaterializer.setPosition,3,3,0,3,1,1,0,1,1,2,1,1,1,0,1,6.0,7.0,3.0,18.094737505048094,126.0,0.008377718728240054,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.3333333333333333,0.0,0,1.0,1,bug-prone
org.apache.drill.exec.store.pcap.decoder.Packet.getSequenceNumber,4,7,0,7,1,4,0,4,2,4,1,3,2,1,0,16.0,23.0,4.5,92.0,1656.0,0.046657231652658754,5,0,0,0,0,0,1.25,0.0,0.0,0,1,2,3,5,0.2857142857142857,0.42857142857142855,0.6666666666666666,5.0,1,bug-prone
org.apache.drill.exec.store.pcap.decoder.Packet.ipVersion,4,3,0,3,1,1,0,2,1,2,1,1,1,0,0,9.0,11.0,2.5,34.86917501586544,247.5,0.013140005513736855,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.drill.exec.store.pcap.decoder.Packet.processIpV4Packet,4,4,0,4,1,2,0,3,1,3,1,2,1,0,0,10.0,12.0,2.5,39.863137138648355,300.0,0.014938015821857213,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.drill.exec.store.pcap.decoder.Packet.processIpV6Packet,14,31,0,30,3,26,1,5,5,19,3,16,9,2,0,51.0,159.0,51.36842105263158,901.9156293734678,416546.5263157895,1.8591785067839555,0,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.drill.exec.store.pcap.decoder.Packet.getEthernetAddress,6,9,0,9,3,6,0,5,2,9,4,5,3,1,1,34.0,66.0,19.384615384615387,335.7725475225224,43499.07692307693,0.4122861755711715,3,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,2,1,3,0.2222222222222222,0.1111111111111111,2.0,3.0,1,bug-prone
org.apache.drill.exec.store.pcap.PcapDrillTable.getSqlTypeFromPcapType,13,16,0,16,1,13,0,3,6,8,1,7,6,1,2,29.0,67.0,21.11111111111111,325.48472667354736,41018.88888888888,0.39646179234855344,2,0,0,0,0,0,0.25,0.0,0.0,0.0,1,2,0,2,0.125,0.0,0,2.0,1,bug-prone
org.apache.drill.exec.store.pcap.PcapFormatPlugin.getRecordReader,3,3,0,3,1,1,0,3,1,2,1,1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,bug-prone
org.apache.drill.exec.store.pcap.PcapFormatPlugin.getWriterOperatorType,0,3,0,3,1,1,0,2,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,bug-prone
org.apache.drill.exec.store.pojo.AbstractPojoRecordReader.next,6,24,3,21,5,15,0,11,10,18,6,12,5,2,0,43.0,101.0,25.0,548.0527402249119,108575.0,0.7586334198570985,0,1,0,0,0,0,0.0,0.041666666666666664,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.drill.exec.store.schedule.AssignmentCreator.getMappings,6,30,6,16,5,12,8,13,2,14,5,9,2,1,0,44.0,107.0,19.5,584.1591831941909,91806.0,0.6783587881041154,32,1,0,0,1,0,2.2857142857142856,0.038461538461538464,0.0,0,1,6,23,29,0.23076923076923078,0.8846153846153846,0.2608695652173913,29.0,1,bug-prone
org.apache.drill.exec.store.schedule.AssignmentCreator.getEndpointIterators,5,46,3,35,10,27,8,20,24,32,13,19,7,3,0,68.0,214.0,62.333333333333336,1302.7170480275727,907074.6666666667,3.123494679605035,2,0,0,0,0,0,0.0625,0.0,0.0,0,2,2,0,2,0.05,0.0,0,1.0,1,bug-prone
org.apache.drill.exec.store.schedule.BlockMapBuilder.generateFileWork,4,15,3,12,4,8,0,8,4,11,6,5,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.18181818181818182,0.0,0.0,0.0,1,2,0,2,0.13333333333333333,0.0,0,2.0,1,not bug-prone
org.apache.drill.exec.store.schedule.BlockMapBuilder.getEndpointByteMap,6,48,7,32,14,25,9,24,9,28,16,12,6,3,2,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0,0,1,0,0.2857142857142857,0.047619047619047616,0.0,0.5,1,2,3,5,0.047619047619047616,0.07142857142857142,0.6666666666666666,5.0,1,bug-prone
org.apache.drill.exec.store.schedule.CompleteFileWork.compareTo,3,18,4,14,3,9,0,7,4,10,3,7,4,2,1,25.0,65.0,21.25,301.8506523353571,34531.25,0.35347085609906714,8,0,0,0,0,0,0.8,0.0,0.0,0.0,1,8,0,8,0.4444444444444444,0.0,0,8.0,1,bug-prone
org.apache.drill.exec.store.SchemaConfig.getUserName,11,7,0,3,1,1,4,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.drill.exec.store.SchemaConfig.getIgnoreAuthErrors,9,7,0,3,1,1,4,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,1,not bug-prone
org.apache.drill.exec.store.SchemaConfig.getOption,6,3,0,3,1,1,0,2,1,2,1,1,1,0,1,7.0,8.0,3.75,22.458839376460833,210.0,0.011776736060179817,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.3333333333333333,0.0,0,1.0,1,not bug-prone
