Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.shutdown,26,30,2,28,1,20,0,12,64,19,1,18,7,1,0,35.0,94.0,12.277777777777777,482.15260359282684,40393.88888888889,0.39242426750984133,14,0,0,0,0,0,0.7368421052631579,0.0,0.0,0,7,15,0,15,0.5,0.0,0,2.142857142857143,5,bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.getView,13,7,0,3,1,1,4,4,1,2,1,1,1,0,0,7.0,9.0,2.5,25.26619429851844,157.5,0.009721481425036923,3,0,0,0,0,0,1.5,0.0,0.0,0,2,2,1,3,0.6666666666666666,0.3333333333333333,2.0,1.5,2,not bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.getVotingView,10,7,0,3,1,1,4,3,1,2,1,1,1,0,0,5.0,6.0,2.0,13.931568569324174,60.0,0.005108729549290353,7,0,0,0,0,0,3.5,0.0,0.0,0,1,1,6,7,0.3333333333333333,2.0,0.16666666666666666,7.0,1,not bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.getObservingView,0,6,0,3,1,1,3,3,1,2,1,1,1,0,0,5.0,6.0,2.0,13.931568569324174,60.0,0.005108729549290353,7,0,0,0,0,0,3.5,0.0,0.0,0,1,1,6,7,0.3333333333333333,2.0,0.16666666666666666,7.0,1,not bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.viewContains,2,8,0,3,1,1,5,3,1,2,1,1,1,0,1,8.0,10.0,4.5,30.0,360.0,0.016868653306034983,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.3333333333333333,0.0,0,1.0,1,not bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.getQuorumPeers,3,21,0,18,3,12,3,9,6,14,4,10,6,4,0,38.0,93.0,33.6,488.0572587502534,118742.40000000001,0.8052844141837092,7,6,0,0,0,0,0.5,0.3333333333333333,0.0,0,3,7,3,10,0.3888888888888889,0.16666666666666666,2.3333333333333335,3.3333333333333335,2,bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.getServerState,15,13,0,13,1,10,0,2,5,7,1,6,5,1,0,19.0,42.0,10.833333333333334,178.41295556463058,8645.0,0.14040699468953993,3,0,0,0,0,0,0.42857142857142855,0.0,0.0,0,2,3,0,3,0.23076923076923078,0.0,0,1.5,1,bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.setTickTime,5,7,0,4,1,2,3,2,1,3,1,2,1,0,1,11.0,14.0,5.25,48.43204266092217,808.5,0.028928911626291798,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.getMaxClientCnxnsPerHost,3,10,0,9,1,5,1,2,3,6,1,5,3,1,0,12.0,26.0,7.0,93.20902501875007,2184.0,0.05611089137870651,6,0,0,0,0,0,1.0,0.0,0.0,0,1,6,2,8,0.6666666666666666,0.2222222222222222,3.0,8.0,1,not bug-prone
org.apache.zookeeper.server.quorum.QuorumPeer.getMinSessionTimeout,5,4,0,3,1,1,1,1,1,2,1,1,1,0,0,3.0,3.0,1.0,4.754887502163469,9.0,0.0014422495703074081,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
