Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.ignite.internal.processors.hadoop.impl.igfs.HadoopIgfsSecondaryFileSystemPositionedReadable.in,9,26,4,21,1,14,1,6,5,13,1,12,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.07692307692307693,0.0,0.0,0,1,3,0,3,0.12,0.0,0,3.0,1,bug-prone
org.apache.ignite.internal.processors.hadoop.impl.igfs.HadoopIgfsSecondaryFileSystemPositionedReadable.close,2,8,0,5,1,2,3,1,1,3,1,2,1,0,0,8.0,9.0,2.5,27.0,180.0,0.01062658569182611,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0,1,2,0,2,0.4,0.0,0,2.0,1,bug-prone
org.apache.ignite.internal.processors.hadoop.impl.v1.HadoopV1MapTask.run,3,79,21,57,14,44,1,37,20,39,14,25,7,6,1,0.0,0.0,0.0,0.0,0.0,0.0,22,2,0,0,0,0,0.5641025641025641,0.02564102564102564,0.0,0.0,4,40,0,40,0.5128205128205128,0.0,0,10.0,2,not bug-prone
org.apache.ignite.internal.processors.hadoop.impl.v1.HadoopV1ReduceTask.run,4,63,13,49,7,37,1,28,56,33,7,26,9,6,1,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0,0,0,0,0.696969696969697,0.03225806451612903,0.0,0.0,3,31,0,31,0.5,0.0,0,10.333333333333334,1,not bug-prone
org.apache.ignite.internal.processors.hadoop.impl.v1.HadoopV1Reporter.getInputSplit,1,4,0,3,1,1,1,1,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1.0,0.0,0.0,0,1,1,1,2,0.3333333333333333,0.3333333333333333,1.0,2.0,1,not bug-prone
org.apache.ignite.internal.processors.hadoop.impl.v2.HadoopV2MapTask.run0,3,65,19,45,11,37,1,31,16,32,10,22,7,2,1,0.0,0.0,0.0,0.0,0.0,0.0,28,2,0,0,0,0,0.875,0.03125,0.0,0.0,4,28,0,28,0.4375,0.0,0,7.0,2,not bug-prone
org.apache.ignite.internal.processors.hadoop.impl.v2.HadoopV2ReduceTask.run0,4,55,12,41,5,32,2,25,48,28,5,23,9,3,1,0.0,0.0,0.0,0.0,0.0,0.0,14,2,2,0,0,0,0.5,0.037037037037037035,0.037037037037037035,0.0,2,14,0,14,0.25925925925925924,0.0,0,7.0,1,not bug-prone
org.apache.ignite.internal.processors.hadoop.mapreduce.MapReduceClient.client,7,45,9,31,5,21,6,16,6,20,4,16,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0.25,0.0,0.0,0,1,6,0,6,0.15,0.0,0,6.0,1,bug-prone
org.apache.ignite.internal.processors.hadoop.shuffle.direct.HadoopDirectDataInput.read,0,4,0,3,1,1,1,2,1,2,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,2.0,0.0,0.0,0,2,2,2,4,0.6666666666666666,0.6666666666666666,1.0,2.0,1,not bug-prone
org.apache.ignite.internal.processors.hadoop.shuffle.direct.HadoopDirectDataInput.skipBytes,4,13,4,8,2,6,1,4,2,7,2,5,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,1.1428571428571428,0.0,0.0,0.0,1,6,2,8,0.5,0.16666666666666666,3.0,8.0,1,not bug-prone
