Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.cassandra.service.StorageService.onRemove,3,5,0,5,1,2,0,2,1,3,1,2,1,0,1,9.0,12.0,4.0,38.03910001730775,432.0,0.019048812623618388,5,0,0,0,0,0,1.6666666666666667,0.0,0.0,0.0,3,1,1,2,0.2,0.2,1.0,0.6666666666666666,1,not bug-prone
org.apache.cassandra.service.StorageService.onDead,2,5,0,5,1,2,0,3,1,3,1,2,1,0,2,11.0,16.0,5.25,55.350905898196764,924.0,0.031622295504914445,5,0,0,0,1,0,1.6666666666666667,0.0,0.0,0.5,3,4,0,4,0.8,0.0,0,1.3333333333333333,2,bug-prone
org.apache.cassandra.service.StorageService.getLoadString,2,4,0,4,1,1,0,3,1,2,1,1,1,0,0,8.0,9.0,3.0,27.0,216.0,0.011999999999999997,1,0,0,0,0,0,0.5,0.0,0.0,0,1,1,0,1,0.25,0.0,0,1.0,1,bug-prone
org.apache.cassandra.service.StorageService.getLoadMap,1,11,0,10,2,5,1,11,2,7,3,4,2,1,0,29.0,52.0,21.083333333333332,252.6150117466338,31793.666666666664,0.33453314728133804,1,3,2,0,0,0,0.14285714285714285,0.2727272727272727,0.18181818181818182,0,2,1,1,2,0.09090909090909091,0.09090909090909091,1.0,1.0,1,bug-prone
org.apache.cassandra.service.StorageService.deliverHints,0,4,0,4,1,1,0,1,1,2,1,1,1,0,1,7.0,7.0,3.0,19.651484454403228,147.0,0.009284466818424913,2,0,0,0,0,0,1.0,0.0,0.0,0.0,1,1,0,1,0.25,0.0,0,1.0,1,bug-prone
org.apache.cassandra.service.StorageService.getLocalTokens,4,6,0,6,2,3,1,3,1,4,2,2,1,0,0,14.0,20.0,11.0,76.14709844115208,3080.0,0.07056335522741669,4,0,0,0,0,0,1.0,0.0,0.0,0,1,3,1,4,0.5,0.16666666666666666,3.0,4.0,1,not bug-prone
org.apache.cassandra.service.StorageService.getTokens,3,7,0,7,2,4,0,6,2,6,3,3,2,1,0,20.0,31.0,16.0,133.97977094150824,9920.0,0.1538933522801535,2,0,0,0,0,0,0.3333333333333333,0.0,0.0,0,1,1,1,2,0.25,0.25,1.0,2.0,1,not bug-prone
org.apache.cassandra.service.StorageService.getLeavingNodes,1,4,0,4,1,1,0,3,1,2,1,1,1,0,0,6.0,7.0,2.0,18.094737505048094,84.0,0.0063933959655481185,1,0,0,1,0,0,0.5,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.cassandra.service.StorageService.getMovingNodes,2,11,2,9,2,4,0,5,2,6,3,3,2,1,0,20.0,29.0,17.0,125.33591475173351,9860.0,0.15327218733977763,0,1,0,0,0,0,0.0,0.09090909090909091,0.0,0,1,0,0,0,0.0,0.0,0,0.0,0,not bug-prone
org.apache.cassandra.service.StorageService.getJoiningNodes,1,4,0,4,1,1,0,4,1,2,1,1,1,0,0,7.0,9.0,2.5,25.26619429851844,157.5,0.009721481425036923,2,0,0,1,0,0,1.0,0.0,0.0,0,2,1,0,1,0.25,0.0,0,0.5,1,bug-prone
org.apache.cassandra.service.StorageService.getLiveNodes,1,4,0,4,1,1,0,3,1,2,1,1,1,0,0,7.0,8.0,2.5,22.458839376460833,140.0,0.0089873316659195,1,0,0,1,0,0,0.5,0.0,0.0,0,2,1,0,1,0.25,0.0,0,0.5,1,not bug-prone
org.apache.cassandra.service.StorageService.getUnreachableNodes,1,4,0,4,1,1,0,3,1,2,1,1,1,0,0,7.0,8.0,2.5,22.458839376460833,140.0,0.0089873316659195,1,0,0,1,0,0,0.5,0.0,0.0,0,2,1,0,1,0.25,0.0,0,0.5,1,not bug-prone
org.apache.cassandra.service.StorageService.getAllDataFileLocations,1,7,0,7,2,4,0,3,2,7,3,4,2,1,0,18.0,35.0,16.900000000000002,145.94737505048093,10647.000000000002,0.1613232321651207,7,0,0,0,0,0,1.0,0.0,0.0,0,1,6,1,7,0.8571428571428571,0.14285714285714285,6.0,7.0,1,not bug-prone
org.apache.cassandra.service.StorageService.getCommitLogLocation,0,4,0,4,1,1,0,3,1,2,1,1,1,0,0,7.0,8.0,2.5,22.458839376460833,140.0,0.0089873316659195,1,0,0,0,0,0,0.5,0.0,0.0,0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.cassandra.service.StorageService.getSavedCachesLocation,0,4,0,4,1,1,0,3,1,2,1,1,1,0,0,7.0,8.0,2.5,22.458839376460833,140.0,0.0089873316659195,1,0,0,0,0,0,0.5,0.0,0.0,0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
