Method name,C20,C3,C4,C1,C5,C6,C2,C21,C18,C8,C9,C10,C17,C19,C7,C11,C12,C13,C14,C15,C16,H6,H7,H8,H9,H10,H11,H16,H17,H18,H19,H4,H1,H2,H3,H12,H13,H14,H15,H5,bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preBalanceSwitch,3,5,0,5,2,2,0,2,1,3,1,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,1,0,1,0.2,0.0,0,1.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preShutdown,2,4,0,4,2,1,0,1,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preStopMaster,2,4,0,4,2,1,0,1,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.5,0.0,0.0,0.0,1,1,0,1,0.25,0.0,0,1.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.postOpen,3,18,0,16,3,11,2,7,4,11,3,8,4,2,1,35.0,60.0,16.291666666666668,307.756981016698,34212.50000000001,0.35129229055763156,8,0,1,0,0,0,0.7272727272727273,0.0,0.05555555555555555,0.0,2,4,4,8,0.2222222222222222,0.2222222222222222,1.0,4.0,2,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preFlush,3,3,0,3,1,1,0,3,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.5,0.0,0.0,0.0,3,3,0,3,1.0,0.0,0,1.0,2,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preSplit,3,3,0,3,1,1,0,3,1,2,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,1.5,0.0,0.0,0.0,3,3,0,3,1.0,0.0,0,1.0,2,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.preAppend,3,5,0,5,2,2,0,4,1,3,1,2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,1,1,0,1,0.2,0.0,0,1.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.requireScannerOwner,4,15,0,10,4,5,5,5,3,6,3,3,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0.3333333333333333,0.1,0.0,0.0,1,2,0,2,0.2,0.0,0,2.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.grant,2,6,0,6,2,3,0,6,1,2,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,14,1,2,0,1,0,7.0,0.16666666666666666,0.3333333333333333,0.5,1,1,8,9,0.16666666666666666,1.3333333333333333,0.125,9.0,1,not bug-prone
org.apache.hadoop.hbase.security.access.AccessController.revoke,2,6,0,6,2,3,0,6,1,2,1,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,14,1,2,0,1,0,7.0,0.16666666666666666,0.3333333333333333,0.5,1,1,8,9,0.16666666666666666,1.3333333333333333,0.125,9.0,1,not bug-prone
